Id,Property type,Property subtype,Bedroom number,Bathroom number,Habitable surface,Room number,Has basement,Has lift,Has garden,Garden surface,Toilet number,Has swimming pool,Has terrace,Terrace surface,Fireplace number,Region,Locality,Post code,Street,Number,Condition,Construction year,Facade number,Floor number,Buildable floor surface,Kitchen type,Land surface,Is furnished,Cadastral income,Price type,Price,Price additional value,Url
23,HOUSE,MANSION,5.0,,666.0,,1.0,1.0,1.0,,6.0,1.0,1.0,60.0,1.0,Brussels,Elsene,1050,Avenue Molière,465,AS_NEW,2012.0,2.0,,0.0,HYPER_EQUIPPED,335.0,0.0,0.0,residential_sale,3900000.0,,https://www.immoweb.be/en/classified/mansion/for-sale/elsene/1050/8690357?searchId=5f6f96dc68422
24,HOUSE,HOUSE,6.0,2.0,330.0,,1.0,,1.0,40.0,3.0,,1.0,19.0,,Flanders,Heverlee,3001,Leon Schreursvest,11,JUST_RENOVATED,1910.0,2.0,,,HYPER_EQUIPPED,220.0,,1665.0,residential_sale,890000.0,,https://www.immoweb.be/en/classified/house/for-sale/heverlee/3001/8777400?searchId=5f6f96dc68422
25,HOUSE,HOUSE,5.0,2.0,270.0,,1.0,0.0,1.0,800.0,3.0,0.0,1.0,15.0,,Brussels,Woluwe-Saint-Pierre,1150,Avenue de Tervuren,406,AS_NEW,1940.0,4.0,,0.0,HYPER_EQUIPPED,971.0,0.0,4695.0,residential_sale,1050000.0,,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/8905891?searchId=5f6f96dc68422
26,HOUSE,HOUSE,2.0,1.0,110.0,,1.0,0.0,1.0,550.0,2.0,0.0,1.0,7.0,,Wallonie,Marchin,4570,Rue des Arcis,3,GOOD,1918.0,4.0,,0.0,INSTALLED,713.0,0.0,384.0,residential_sale,199000.0,,https://www.immoweb.be/en/classified/house/for-sale/marchin/4570/8952598?searchId=5f6f96dc68422
27,HOUSE,HOUSE,4.0,3.0,235.0,,1.0,0.0,,,3.0,0.0,,,,Brussels,Woluwe-Saint-Lambert,1200,Avenue Albertyn,33-35,JUST_RENOVATED,1930.0,3.0,,0.0,INSTALLED,63.0,1.0,1646.0,residential_sale,545000.0,,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-lambert/1200/8910441?searchId=5f6f96dc68422
28,HOUSE,EXCEPTIONAL_PROPERTY,3.0,2.0,600.0,,,0.0,1.0,2358.0,,0.0,1.0,127.0,,Wallonie,Etalle,6740,Rue de Hertanchamp,7,AS_NEW,2018.0,4.0,,368.0,HYPER_EQUIPPED,2358.0,0.0,1433.0,residential_sale,598000.0,,https://www.immoweb.be/en/classified/exceptional-property/for-sale/etalle/6740/8909956?searchId=5f6f96dc68422
29,HOUSE,HOUSE,4.0,1.0,181.0,,1.0,,1.0,284.0,2.0,,1.0,60.0,,Flanders,Hoboken,2660,Oslostraat,17,GOOD,1965.0,3.0,,,INSTALLED,364.0,0.0,745.0,residential_sale,329000.0,,https://www.immoweb.be/en/classified/house/for-sale/hoboken/2660/8932873?searchId=5f6f96dc68422
30,HOUSE,HOUSE,7.0,2.0,298.0,,1.0,,,,3.0,,1.0,28.0,,Brussels,Schaerbeek,1030,Place de Jamblinne de Meux,16,GOOD,1908.0,2.0,,90.0,HYPER_EQUIPPED,90.0,0.0,1737.0,residential_sale,500000.0,,https://www.immoweb.be/en/classified/house/for-sale/schaerbeek/1030/8774810?searchId=5f6f96e4b4bdf
31,HOUSE,HOUSE,6.0,2.0,225.0,,,0.0,1.0,30.0,3.0,0.0,1.0,30.0,,Brussels,Uccle,1180,Rue du Roetaert,20,GOOD,1960.0,3.0,,0.0,USA_HYPER_EQUIPPED,95.0,0.0,1752.0,residential_sale,500000.0,,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/8940472?searchId=5f6f96e4b4bdf
32,HOUSE,HOUSE,6.0,2.0,225.0,,,0.0,1.0,30.0,3.0,0.0,1.0,30.0,,Brussels,Forest,1190,Rue du Roetaert,20,GOOD,1960.0,3.0,,0.0,USA_HYPER_EQUIPPED,95.0,0.0,1752.0,residential_sale,500000.0,,https://www.immoweb.be/en/classified/house/for-sale/forest/1190/8940473?searchId=5f6f96e4b4bdf
33,HOUSE,MIXED_USE_BUILDING,2.0,2.0,220.0,,1.0,0.0,1.0,60.0,4.0,,,,,Brussels,Forest,1190,Avenue de Monte Carlo,1,AS_NEW,1955.0,2.0,,200.0,INSTALLED,193.0,0.0,2084.0,residential_sale,500000.0,,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/forest/1190/8758672?searchId=5f6f96e4b4bdf
34,HOUSE,VILLA,4.0,3.0,250.0,,1.0,,1.0,600.0,3.0,0.0,1.0,40.0,,Wallonie,Oreye,4360,Rue de Ramkin,3,AS_NEW,1977.0,4.0,,210.0,HYPER_EQUIPPED,1020.0,0.0,1200.0,residential_sale,450000.0,,https://www.immoweb.be/en/classified/villa/for-sale/oreye/4360/8728125?searchId=5f6f96e4b4bdf
35,HOUSE,HOUSE,4.0,2.0,250.0,,,,1.0,84.0,3.0,,1.0,50.0,,Brussels,Forest,1190,Rue de la Soierie,17,AS_NEW,1992.0,2.0,,0.0,HYPER_EQUIPPED,158.0,0.0,4107.0,residential_sale,495000.0,,https://www.immoweb.be/en/classified/house/for-sale/forest/1190/8754369?searchId=5f6f96e4b4bdf
36,HOUSE,VILLA,4.0,2.0,200.0,,,,,,3.0,,,,1.0,Flanders,Huldenberg,3040,Waversestraat,15,AS_NEW,1961.0,4.0,,0.0,INSTALLED,4970.0,0.0,2674.0,residential_sale,500000.0,,https://www.immoweb.be/en/classified/villa/for-sale/huldenberg/3040/8776413?searchId=5f6f96e4b4bdf
37,HOUSE,HOUSE,5.0,1.0,365.0,,1.0,,1.0,50.0,4.0,,1.0,20.0,,Brussels,Ixelles,1050,Rue Souveraine,71,JUST_RENOVATED,1920.0,2.0,,0.0,USA_HYPER_EQUIPPED,145.0,0.0,2144.0,residential_sale,1350000.0,,https://www.immoweb.be/en/classified/house/for-sale/ixelles/1050/8953451?searchId=5f6f96e4b4bdf
38,HOUSE,HOUSE,3.0,1.0,220.0,,1.0,0.0,1.0,110.0,2.0,0.0,1.0,,,Flanders,Beersel Alsemberg,1652,Vroenenbosstraat,9,TO_RENOVATE,1955.0,3.0,,0.0,INSTALLED,171.0,,1122.0,residential_sale,299000.0,,https://www.immoweb.be/en/classified/house/for-sale/beersel-alsemberg/1652/8898187?searchId=5f6f96e4b4bdf
39,HOUSE,HOUSE,3.0,1.0,220.0,,1.0,0.0,1.0,110.0,2.0,0.0,1.0,,,Flanders,Beersel Dworp,1653,Vroenenbosstraat,9,TO_RENOVATE,1955.0,3.0,,0.0,INSTALLED,171.0,,1122.0,residential_sale,299000.0,,https://www.immoweb.be/en/classified/house/for-sale/beersel-dworp/1653/8895725?searchId=5f6f96e4b4bdf
40,HOUSE,HOUSE,3.0,1.0,220.0,,1.0,0.0,1.0,110.0,2.0,0.0,1.0,,,Flanders,Beersel Huizingen,1654,Vroenenbosstraat,9,TO_RENOVATE,1955.0,3.0,,0.0,INSTALLED,171.0,,1122.0,residential_sale,299000.0,,https://www.immoweb.be/en/classified/house/for-sale/beersel-huizingen/1654/8898188?searchId=5f6f96e4b4bdf
41,HOUSE,EXCEPTIONAL_PROPERTY,5.0,2.0,257.0,,,0.0,1.0,100.0,3.0,0.0,1.0,,,Wallonie,NeufchÃteau,6840,avenue de la gare,46,AS_NEW,1900.0,2.0,,0.0,INSTALLED,641.0,,859.0,residential_sale,345000.0,,https://www.immoweb.be/en/classified/exceptional-property/for-sale/neufchateau/6840/8948402?searchId=5f6f96e4b4bdf
42,HOUSE,HOUSE,3.0,1.0,496.0,,1.0,1.0,1.0,,2.0,,1.0,,1.0,Flanders,SINT-MARIA-LIERDE,9570,Steenweg,57,TO_BE_DONE_UP,1973.0,4.0,,0.0,INSTALLED,1052.0,,1593.0,residential_sale,415000.0,,https://www.immoweb.be/en/classified/house/for-sale/sint-maria-lierde/9570/8930278?searchId=5f6f96e4b4bdf
43,HOUSE,HOUSE,5.0,3.0,280.0,,1.0,0.0,,,3.0,,1.0,23.0,,Flanders,Kraainem,1950,Avenue Charles Verhaegen,25,AS_NEW,2007.0,3.0,,280.0,HYPER_EQUIPPED,195.0,0.0,2467.0,residential_sale,750000.0,,https://www.immoweb.be/en/classified/house/for-sale/kraainem/1950/8954805?searchId=5f6f96e4b4bdf
44,HOUSE,HOUSE,3.0,1.0,100.0,,1.0,0.0,,,1.0,0.0,1.0,26.0,,Wallonie,Trooz,4870,Rue Sainry,114,TO_BE_DONE_UP,1928.0,2.0,,0.0,SEMI_EQUIPPED,85.0,0.0,342.0,residential_sale,139000.0,,https://www.immoweb.be/en/classified/house/for-sale/trooz/4870/8888761?searchId=5f6f96e4b4bdf
45,HOUSE,VILLA,3.0,1.0,120.0,,,,1.0,,1.0,,1.0,,,Wallonie,CHAPELLE-À-WATTINES,7903,Rue de Cayoit,48,GOOD,1976.0,4.0,,0.0,SEMI_EQUIPPED,790.0,,681.0,residential_sale,275000.0,,https://www.immoweb.be/en/classified/villa/for-sale/chapelle-a-wattines/7903/8935297?searchId=5f6f96e4b4bdf
46,HOUSE,COUNTRY_COTTAGE,3.0,2.0,225.0,,,0.0,,,2.0,0.0,1.0,20.0,,Wallonie,Wavre,1300,Avenue de Cheremont,92,AS_NEW,1978.0,2.0,,0.0,USA_SEMI_EQUIPPED,135.0,0.0,1864.0,residential_sale,415000.0,,https://www.immoweb.be/en/classified/country-cottage/for-sale/wavre/1300/8920956?searchId=5f6f96e4b4bdf
47,HOUSE,HOUSE,3.0,2.0,200.0,,1.0,0.0,1.0,40.0,2.0,0.0,,,,Wallonie,Herstal,4040,Rue Felix Chaumont,130,TO_BE_DONE_UP,1938.0,3.0,,60.0,SEMI_EQUIPPED,100.0,0.0,837.0,residential_sale,189000.0,,https://www.immoweb.be/en/classified/house/for-sale/herstal/4040/8940340?searchId=5f6f96e4b4bdf
48,HOUSE,HOUSE,2.0,1.0,90.0,,1.0,0.0,1.0,447.0,1.0,0.0,,,,Wallonie,Arlon,6700,Rue des Hetres,71,TO_RENOVATE,1957.0,4.0,,85.0,NOT_INSTALLED,532.0,0.0,671.0,residential_sale,290000.0,,https://www.immoweb.be/en/classified/house/for-sale/arlon/6700/8923819?searchId=5f6f96e4b4bdf
49,HOUSE,VILLA,7.0,5.0,400.0,,1.0,0.0,1.0,1100.0,6.0,0.0,1.0,50.0,,Brussels,Woluwe-Saint-Pierre,1150,Avenue des Dames Blanches,132,AS_NEW,2007.0,4.0,,600.0,HYPER_EQUIPPED,1500.0,0.0,8184.0,residential_sale,1350000.0,,https://www.immoweb.be/en/classified/villa/for-sale/woluwe-saint-pierre/1150/8714981?searchId=5f6f96e4b4bdf
50,HOUSE,EXCEPTIONAL_PROPERTY,7.0,2.0,316.0,,1.0,0.0,1.0,1700.0,2.0,0.0,1.0,,,Flanders,Schepdaal,1703,Geraardsbergsestraat,67,AS_NEW,1933.0,4.0,,0.0,USA_HYPER_EQUIPPED,1913.0,0.0,0.0,residential_sale,799000.0,,https://www.immoweb.be/en/classified/exceptional-property/for-sale/schepdaal/1703/8818306?searchId=5f6f96e4b4bdf
51,HOUSE,HOUSE,5.0,1.0,175.0,,1.0,0.0,1.0,170.0,2.0,0.0,1.0,15.0,,Wallonie,Villers-le-Bouillet,4530,Rue de Bodegnee,1,GOOD,1850.0,3.0,,85.0,HYPER_EQUIPPED,335.0,0.0,330.0,residential_sale,225000.0,,https://www.immoweb.be/en/classified/house/for-sale/villers-le-bouillet/4530/8938241?searchId=5f6f96e4b4bdf
52,HOUSE,HOUSE,5.0,2.0,176.0,,,0.0,1.0,415.0,2.0,0.0,1.0,30.0,,Flanders,Lissewege,8380,Zeebruggelaan,83,GOOD,1999.0,3.0,,294.0,INSTALLED,712.0,0.0,1603.0,residential_sale,545000.0,,https://www.immoweb.be/en/classified/house/for-sale/lissewege/8380/8896736?searchId=5f6f96e4b4bdf
53,HOUSE,HOUSE,2.0,1.0,235.0,,1.0,0.0,1.0,30.0,1.0,0.0,1.0,25.0,,Wallonie,Sprimont,4140,rue du pont,23,GOOD,1897.0,4.0,,0.0,SEMI_EQUIPPED,540.0,0.0,458.0,residential_sale,160000.0,,https://www.immoweb.be/en/classified/house/for-sale/sprimont/4140/8927756?searchId=5f6f96e4b4bdf
54,HOUSE,HOUSE,5.0,1.0,169.0,,1.0,0.0,,,2.0,0.0,,,,Wallonie,Neufchateau,6840,Rue Lucien Burnotte,42,TO_BE_DONE_UP,1900.0,2.0,,48.0,NOT_INSTALLED,122.0,0.0,535.0,residential_sale,85000.0,,https://www.immoweb.be/en/classified/house/for-sale/neufchateau/6840/8945057?searchId=5f6f96e4b4bdf
55,HOUSE,HOUSE,3.0,1.0,130.0,,,,,,2.0,,,,,Flanders,GIJZELBRECHTEGEM,8570,Blaarhoek,20,GOOD,2013.0,3.0,,0.0,INSTALLED,317.0,,0.0,residential_sale,355000.0,,https://www.immoweb.be/en/classified/house/for-sale/gijzelbrechtegem/8570/8946032?searchId=5f6f96e4b4bdf
56,HOUSE,HOUSE,4.0,2.0,200.0,,,,1.0,449.0,2.0,,1.0,,,Flanders,St-Michiels,8200,Witte Molenstraat,74,AS_NEW,2020.0,4.0,,0.0,HYPER_EQUIPPED,559.0,0.0,0.0,residential_sale,535000.0,,https://www.immoweb.be/en/classified/house/for-sale/st-michiels/8200/8698516?searchId=5f6f96e4b4bdf
57,HOUSE,EXCEPTIONAL_PROPERTY,8.0,4.0,550.0,,1.0,0.0,,,5.0,0.0,1.0,,,Wallonie,Bastogne,6600,Rue de la Chapelle,154-156,AS_NEW,1997.0,4.0,,330.0,INSTALLED,2700.0,0.0,2545.0,residential_sale,835000.0,,https://www.immoweb.be/en/classified/exceptional-property/for-sale/bastogne/6600/8888878?searchId=5f6f96e4b4bdf
58,HOUSE,HOUSE,2.0,1.0,96.0,,1.0,0.0,,,1.0,0.0,1.0,,,Wallonie,Huy,4500,Chaussee de Liege,115,TO_RENOVATE,1875.0,2.0,,56.0,NOT_INSTALLED,75.0,0.0,349.0,residential_sale,105000.0,,https://www.immoweb.be/en/classified/house/for-sale/huy/4500/8942339?searchId=5f6f96e4b4bdf
59,HOUSE,HOUSE,4.0,2.0,175.0,,1.0,,1.0,,3.0,,1.0,20.0,1.0,Flanders,Wezembeek-Oppem,1970,Rue Frans Landrain,19,TO_BE_DONE_UP,1992.0,3.0,,0.0,INSTALLED,273.0,0.0,3113.0,residential_sale,610000.0,,https://www.immoweb.be/en/classified/house/for-sale/wezembeek-oppem/1970/8915978?searchId=5f6f96e4b4bdf
60,HOUSE,HOUSE,3.0,1.0,246.0,,,0.0,1.0,2300.0,2.0,0.0,1.0,,,Wallonie,Bastogne,6600,Mont,14,GOOD,1998.0,4.0,,0.0,INSTALLED,2371.0,0.0,0.0,residential_sale,310000.0,,https://www.immoweb.be/en/classified/house/for-sale/bastogne/6600/8952577?searchId=5f6f96ec61112
61,HOUSE,HOUSE,3.0,1.0,130.0,,,,,,2.0,,,,,Flanders,GIJZELBRECHTEGEM,8570,Blaarhoek,20,GOOD,2013.0,3.0,,0.0,INSTALLED,317.0,,0.0,residential_sale,355000.0,,https://www.immoweb.be/en/classified/house/for-sale/gijzelbrechtegem/8570/8945565?searchId=5f6f96ec61112
62,HOUSE,HOUSE,3.0,1.0,145.0,,,,,,2.0,,,,,Flanders,Ekeren,2180,Pastoor Goetschalckxstraat,67,GOOD,1930.0,3.0,,,SEMI_EQUIPPED,201.0,,939.0,residential_sale,279000.0,,https://www.immoweb.be/en/classified/house/for-sale/ekeren/2180/8860396?searchId=5f6f96ec61112
63,HOUSE,HOUSE,2.0,1.0,147.0,,1.0,,1.0,,1.0,,1.0,,,Flanders,Kessel-Lo,3010,Holsbeeksesteenweg,206,TO_RENOVATE,1951.0,2.0,,0.0,NOT_INSTALLED,374.0,,867.0,residential_sale,310000.0,,https://www.immoweb.be/en/classified/house/for-sale/kessel-lo/3010/8817314?searchId=5f6f96ec61112
64,HOUSE,HOUSE,4.0,2.0,250.0,,1.0,0.0,1.0,290.0,2.0,0.0,1.0,30.0,,Flanders,Ingelmunster,8770,Steenovenstraat,7,AS_NEW,1951.0,3.0,,267.0,USA_HYPER_EQUIPPED,708.0,0.0,580.0,residential_sale,375000.0,,https://www.immoweb.be/en/classified/house/for-sale/ingelmunster/8770/8932158?searchId=5f6f96ec61112
65,HOUSE,TOWN_HOUSE,3.0,1.0,191.0,,,,1.0,,2.0,,1.0,,1.0,Flanders,Strombeek-Bever,1853,piereman,9,,1979.0,3.0,,,INSTALLED,331.0,0.0,1767.0,residential_sale,428000.0,,https://www.immoweb.be/en/classified/town-house/for-sale/strombeek-bever/1853/8911430?searchId=5f6f96ec61112
66,HOUSE,HOUSE,4.0,2.0,355.0,,1.0,,,,2.0,,1.0,,,Wallonie,Flobecq,7880,Rue Sainte-Anne,14a,GOOD,1984.0,4.0,,0.0,SEMI_EQUIPPED,2500.0,,1036.0,residential_sale,460000.0,,https://www.immoweb.be/en/classified/house/for-sale/flobecq/7880/8924403?searchId=5f6f96ec61112
67,HOUSE,EXCEPTIONAL_PROPERTY,5.0,2.0,438.0,,1.0,0.0,1.0,250.0,3.0,0.0,1.0,25.0,1.0,Flanders,Brugge,8000,Koningin Elisabethlaan,53,GOOD,1934.0,2.0,,0.0,INSTALLED,380.0,0.0,1802.0,residential_sale,699000.0,,https://www.immoweb.be/en/classified/exceptional-property/for-sale/brugge/8000/8616057?searchId=5f6f96ec61112
68,HOUSE,HOUSE,5.0,2.0,300.0,,,,,,3.0,,1.0,36.0,1.0,Flanders,Tervuren,3080,ZWALUWENLAAN,32,AS_NEW,1977.0,3.0,,,INSTALLED,455.0,,3356.0,residential_sale,749000.0,,https://www.immoweb.be/en/classified/house/for-sale/tervuren/3080/8731541?searchId=5f6f96ec61112
69,HOUSE,VILLA,4.0,1.0,270.0,,1.0,,1.0,,3.0,,1.0,,1.0,Flanders,Tervuren,3080,Sint-Hubertuslaan,18,JUST_RENOVATED,,3.0,,,HYPER_EQUIPPED,1005.0,,2178.0,residential_sale,890000.0,,https://www.immoweb.be/en/classified/villa/for-sale/tervuren/3080/8921193?searchId=5f6f96ec61112
70,HOUSE,HOUSE,5.0,2.0,270.0,,1.0,,1.0,30.0,4.0,,1.0,30.0,1.0,Brussels,Woluwe-St-Lambert,1200,Avenue de Broqueville,237,JUST_RENOVATED,1939.0,2.0,,0.0,HYPER_EQUIPPED,400.0,0.0,0.0,residential_sale,1200000.0,,https://www.immoweb.be/en/classified/house/for-sale/woluwe-st-lambert/1200/8953329?searchId=5f6f96ec61112
71,HOUSE,VILLA,3.0,2.0,200.0,,1.0,0.0,1.0,534.0,2.0,0.0,1.0,25.0,,Flanders,Overijse,3090,Boslaan,48,GOOD,1961.0,4.0,,180.0,INSTALLED,986.0,0.0,2806.0,residential_sale,499000.0,,https://www.immoweb.be/en/classified/villa/for-sale/overijse/3090/8910983?searchId=5f6f96ec61112
